Year,Rk,Player,Team,GP,W,L,Min,Dist_FT,Dist_Miles,Dist_Miles_off,Dist_Miles_def,avg_speed,avg_speed_off,avg_speed_def
2018,,Luke Babbitt,MIA,49,15,34,14.1,5714.3,1.08,0.6,0.48,4.62,5.06,4.18
2018,,Luis Montero,DET,2,1,1,4,1571,0.3,0.15,0.15,4.53,4.46,4.61
2018,,Lucas Nogueira,TOR,49,36,13,8.5,3127.3,0.59,0.31,0.28,4.18,4.41,3.99
2018,,Luc Mbah a Moute,HOU,61,52,9,25.6,9125,1.73,0.9,0.83,4.05,4.25,3.86
2018,,Lou Williams,LAC,79,42,37,32.8,11619.9,2.2,1.18,1.02,4.04,4.44,3.67
2018,,Lorenzo Brown,TOR,14,9,5,9.9,3917.1,0.74,0.38,0.36,4.52,4.74,4.22
2018,,Lonzo Ball,LAL,52,24,28,34.2,13089.1,2.48,1.3,1.18,4.46,4.93,4.03
2018,,London Perrantes,CLE,14,8,6,4.7,1687.5,0.32,0.18,0.14,4.13,4.35,3.69
2018,,LeBron James,CLE,82,50,32,36.9,12545.3,2.38,1.25,1.12,3.88,4.1,3.66
2018,,Lauri Markkanen,CHI,68,23,45,29.7,11623.7,2.2,1.24,0.97,4.47,5.08,3.87
2018,,Larry Nance Jr.,CLE,66,32,34,21.5,8494.7,1.61,0.84,0.77,4.5,4.92,4.12
2018,,Larry Drew II,NOP,10,6,4,7,2819.7,0.53,0.29,0.25,4.55,4.97,4.3
2018,,Langston Galloway,DET,58,28,30,14.9,5860.2,1.11,0.59,0.52,4.49,4.86,4.14
2018,,Lance Thomas,NYK,72,24,48,18.4,7361.5,1.39,0.74,0.66,4.58,4.77,4.39
2018,,Lance Stephenson,IND,82,48,34,22.6,8020.4,1.52,0.8,0.72,4.06,4.23,3.89
2018,,LaMarcus Aldridge,SAS,75,45,30,33.5,12050.5,2.28,1.23,1.06,4.11,4.24,3.97
2018,,Kyrie Irving,BOS,57,38,19,32.2,11906.3,2.25,1.24,1.02,4.22,4.65,3.78
2018,,Kyle Singler,OKC,11,5,6,3.3,1266.1,0.24,0.13,0.11,4.31,4.73,3.92
2018,,Kyle O'Quinn,NYK,76,27,49,17.9,6480.6,1.23,0.65,0.57,4.15,4.36,3.92
2018,,Kyle Lowry,TOR,78,57,21,32.2,11840.7,2.24,1.23,1.02,4.21,4.62,3.81
2018,,Kyle Kuzma,LAL,77,34,43,31.2,12157.1,2.3,1.23,1.07,4.52,5.05,4.03
2018,,Kyle Korver,CLE,73,43,30,21.6,8390.6,1.59,0.83,0.76,4.44,4.78,4.12
2018,,Kyle Collinsworth,DAL,32,9,23,15,6144.4,1.16,0.62,0.55,4.67,4.89,4.44
2018,,Kyle Anderson,SAS,74,41,33,26.7,10325.2,1.96,1.08,0.88,4.41,4.69,4.11
2018,,Kristaps Porzingis,NYK,48,22,26,32.4,11793.9,2.23,1.22,1.02,4.15,4.49,3.81
2018,,Kris Dunn,CHI,52,19,33,29.3,11525,2.18,1.16,1.02,4.48,4.89,4.09
2018,,Kosta Koufos,SAC,71,22,49,19.6,7439.1,1.41,0.74,0.66,4.36,4.56,4.16
2018,,Kobi Simmons,MEM,32,6,26,20.1,7950.2,1.51,0.82,0.69,4.54,4.78,4.26
2018,,Klay Thompson,GSW,73,55,18,34.3,13170.3,2.49,1.31,1.18,4.4,4.92,3.94
2018,,Khris Middleton,MIL,81,44,37,36.4,13019.7,2.47,1.27,1.2,4.09,4.38,3.82
2018,,Khem Birch,ORL,42,14,28,13.8,5142.2,0.97,0.52,0.45,4.32,4.53,4.11
2018,,Kevon Looney,GSW,66,45,21,13.8,5374,1.02,0.54,0.48,4.47,4.76,4.18
